cls,freq,freq_1cls,ratio,agent_utterance,theme
3,4,1,0.25, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,休日
3,5,1,0.2, 学生時代、たいへんだった体験はありますか？,学校
3,9,1,0.11, 学生時代、一番楽しかった学年はありますか？,学校
3,6,1,0.17, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校
3,7,2,0.29, ほかにエピソードはありますか？,学校
3,7,5,0.71, 運動会や、学芸会などのイベントで面白かった体験はありますか？,学校
3,16,3,0.19, ほかには何か面白いことはありましたか？,旅行
3,23,2,0.09, さいきん旅行には行きましたか？,旅行
3,23,7,0.3, 今までいった「旅行」で特におすすめの場所はありますか？,旅行
3,10,3,0.3, 旅行はどこに行ったことがありますか？,旅行
3,11,3,0.27, 旅行に行くときはなにか目的はありますか？,旅行
3,4,1,0.25, 旅行にはよく行かれますか？,旅行
3,5,1,0.2, その旅先で何かハプニングはありましたか!,旅行
3,3,2,0.67, 邦画が好きなんですか，おすすめの邦画ってありますか？,映画
3,11,2,0.18, 最近見た映画はありますか？,映画
3,5,1,0.2, 洋画が好きなんですか，おすすめの洋画ってありますか？,映画
3,4,1,0.25, 「映画館」か「テレビ」かどちらでよく映画をみますか？,映画
3,4,1,0.25, では，もう一度見たい映画はありますか？,映画
3,1,1,1.0, 一番好きなシーンなどはありますか？,本
3,7,1,0.14, 本はよく読む方ですか？,本
3,3,1,0.33, よく読むんですか。いいですね。おすすめの作者や本はありますか？,本
3,14,1,0.07, カラオケは好きですか？,音楽
3,9,2,0.22, カラオケでよくなにをうたうのですか？,音楽
3,4,1,0.25, カラオケに行くときはお友達と行きますか？,音楽
3,6,1,0.17, 最近音楽は聞きましたか？,音楽
3,22,2,0.09, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽
3,8,4,0.5, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
3,7,1,0.14, おすすめの曲はありますか？,音楽
3,6,1,0.17, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
3,3,1,0.33, おすすめの歌手やきょくってありますか？,音楽
3,7,1,0.14, どんなところに行きますか？和食ですか洋食ですか？,食事
3,15,1,0.07, からい食べものとはどんな食べものが好きですか？,食事
3,24,2,0.08, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事
4,128,27,0.21, なるほど、そうなんですね。,default
5,3,3,1.0, どういったところが好きなんですか？,default
5,10,4,0.4, 使い心地はどうですか？,エスエヌエス
5,4,1,0.25, いつもはどんなジャンルのゲームをするんですか？,ゲーム
5,5,2,0.4, 最近ハマっているゲームはありますか？,ゲーム
5,6,3,0.5, スポーツをする目的は何ですか？,スポーツ
5,16,1,0.06, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ
5,7,2,0.29, 最近スポーツはしましたか？,スポーツ
5,20,1,0.05, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ
5,16,10,0.62, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
5,1,1,1.0, どんなスポーツをされましたか？,スポーツ
5,13,1,0.08, さいきんドラマは見ましたか？,ドラマ
5,1,1,1.0, では，おすすめのドラマは何ですか？よろしければ教えてください。,ドラマ
5,5,2,0.4, ドラマはよく見る方ですか？,ドラマ
5,4,2,0.5, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,休日
5,2,1,0.5, お子さんとはよく公園で遊びますか？,休日
5,1,1,1.0, 何をして遊ぶことが多いですか？,休日
5,5,1,0.2, 学生時代、たいへんだった体験はありますか？,学校
5,9,1,0.11, 学生時代、一番楽しかった学年はありますか？,学校
5,7,3,0.43, ほかにエピソードはありますか？,学校
5,16,3,0.19, ほかには何か面白いことはありましたか？,旅行
5,23,6,0.26, 今までいった「旅行」で特におすすめの場所はありますか？,旅行
5,10,1,0.1, 旅行はどこに行ったことがありますか？,旅行
5,11,2,0.18, 旅行に行くときはなにか目的はありますか？,旅行
5,4,1,0.25, 旅行にはよく行かれますか？,旅行
5,15,3,0.2, 「温泉」などリフレッシュするためにいきますか？,旅行
5,5,2,0.4, 洋画が好きなんですか，おすすめの洋画ってありますか？,映画
5,3,1,0.33, では，最近どんな映画を見られたんですか？,映画
5,3,1,0.33, おすすめの映画ってありますか？,映画
5,7,2,0.29, 本はよく読む方ですか？,本
5,6,2,0.33, 最近本は読みましたか？,本
5,14,2,0.14, カラオケは好きですか？,音楽
5,9,4,0.44, カラオケでよくなにをうたうのですか？,音楽
5,7,2,0.29, おすすめの曲はありますか？,音楽
5,6,2,0.33, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
5,6,1,0.17, コンサートとかには行きますか？,音楽
5,3,2,0.67, カラオケで歌ったりするのですか？,音楽
5,15,5,0.33, からい食べものとはどんな食べものが好きですか？,食事
5,23,22,0.96, なるほど、普段はどこでスイーツを買いますか？,食事
6,25,15,0.6, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,エスエヌエス
6,3,1,0.33, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,ゲーム
6,6,1,0.17, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,ゲーム
6,20,10,0.5, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ
6,2,1,0.5, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,ドラマ
6,26,19,0.73, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,休日
6,29,27,0.93, 休日は家で過ごすほうが多いですか？外出することが多いですか？,休日
6,10,2,0.2, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,休日
6,7,3,0.43, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,休日
6,2,1,0.5, 人工知能を搭載した、アイボのようなロボットに興味はありますか？,休日
6,6,4,0.67, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校
6,7,2,0.29, 運動会や、学芸会などのイベントで面白かった体験はありますか？,学校
6,23,3,0.13, 今までいった「旅行」で特におすすめの場所はありますか？,旅行
6,4,4,1.0, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行
6,2,1,0.5, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,本
6,22,19,0.86, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽
6,8,2,0.25, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
6,6,3,0.5, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
6,2,1,0.5, クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？,音楽
6,24,22,0.92, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事
6,10,9,0.9, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,食事
6,17,13,0.76, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,食事
7,3,2,0.67, そうなんですか．それでは一度独自で調べてみたいと思います．,default
7,6,2,0.33, それは面白そうですね。,default
7,3,3,1.0, それは大変ですよね。,default
7,7,5,0.71, なるほど、それは面白そうですね。,default
7,4,2,0.5, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,default
7,2,2,1.0, そのスポーツのおすすめポイントを教えてください＾＾,スポーツ
7,3,3,1.0, そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ
7,12,9,0.75, それは楽しい時間でしたね！,学校
7,6,2,0.33, それはご活躍されたんですね・・,学校
7,4,1,0.25, それは面白い体験ですね！,学校
7,4,3,0.75, それはたいへんでしたね。,学校
7,5,4,0.8, その旅先で何かハプニングはありましたか!,旅行
7,10,6,0.6, なるほど、それは素晴らしい経験ですね。,旅行
7,14,10,0.71, それは、美味しそうですね。,旅行
7,22,18,0.82, その旅先で美味しい食べ物はたべましたか・・,旅行
7,7,7,1.0, なるほど、それはリラックスできますね。,旅行
7,4,2,0.5, なるほど、それは面白そうですね！私も観てみたいです！,映画
7,11,9,0.82, なるほど、それは美味しそうですね・・,食事
7,1,1,1.0, 具体的にどういう味か教えてください。,食事
8,16,4,0.25, なるほど、勉強になります・・,default
8,2,1,0.5, たのしそうですね。,default
8,4,1,0.25, そうですか、なかなかですね。,default
8,57,50,0.88, そうなんですね。,default
8,5,2,0.4, そうですね。,default
8,47,31,0.66, なるほど。,default
8,10,3,0.3, 楽しそうですね！,default
8,1,1,1.0, そうですか、残念です・・,default
8,10,3,0.3, とても楽しそうですね。,音楽
9,1,1,1.0, 最近アニメや漫画をよく見ますか？,アニメ・漫画
9,2,2,1.0, 見たことのあるものの中で一番好きなものはなんですか？,アニメ・漫画
9,2,1,0.5, おすすめの漫画ってありますか？,アニメ・漫画
9,15,1,0.07, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,エスエヌエス
9,13,1,0.08, おすすめの便利なきのうとかはありますか？,エスエヌエス
9,10,4,0.4, 使い心地はどうですか？,エスエヌエス
9,21,15,0.71, ショッピングで「アマゾン」などはよく利用しますか？,エスエヌエス
9,4,1,0.25, いつもはどんなジャンルのゲームをするんですか？,ゲーム
9,5,1,0.2, 最近ハマっているゲームはありますか？,ゲーム
9,5,3,0.6, ゲームはよくする方なんですか？,ゲーム
9,2,1,0.5, 携帯ゲームかテレビゲームならどちらをしますか？,ゲーム
9,6,1,0.17, スポーツをする目的は何ですか？,スポーツ
9,7,1,0.14, 最近スポーツはしましたか？,スポーツ
9,16,3,0.19, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
9,3,2,0.67, 好きなスポーツはなんですか？,スポーツ
9,13,9,0.69, さいきんドラマは見ましたか？,ドラマ
9,5,2,0.4, ドラマはよく見る方ですか？,ドラマ
9,4,2,0.5, 健康番組、とかトーク番組とか見られますか？,ドラマ
9,5,1,0.2, 学生時代、たいへんだった体験はありますか？,学校
9,9,4,0.44, 学生時代、一番楽しかった学年はありますか？,学校
9,7,2,0.29, ほかにエピソードはありますか？,学校
9,3,1,0.33, ほかにたいへんだったことはありますか？,学校
9,3,1,0.33, 最近、学校にはいきましたか？,学校
9,16,3,0.19, ほかには何か面白いことはありましたか？,旅行
9,23,12,0.52, さいきん旅行には行きましたか？,旅行
9,23,6,0.26, 今までいった「旅行」で特におすすめの場所はありますか？,旅行
9,10,6,0.6, 旅行はどこに行ったことがありますか？,旅行
9,4,1,0.25, 旅行にはよく行かれますか？,旅行
9,15,4,0.27, 「温泉」などリフレッシュするためにいきますか？,旅行
9,11,3,0.27, 最近見た映画はありますか？,映画
9,5,1,0.2, 洋画が好きなんですか，おすすめの洋画ってありますか？,映画
9,4,1,0.25, 「映画館」か「テレビ」かどちらでよく映画をみますか？,映画
9,4,2,0.5, では，もう一度見たい映画はありますか？,映画
9,3,2,0.67, おすすめの映画ってありますか？,映画
9,2,2,1.0, 最近映画は見ましたか？,映画
9,7,3,0.43, 本はよく読む方ですか？,本
9,6,2,0.33, 最近本は読みましたか？,本
9,14,7,0.5, カラオケは好きですか？,音楽
9,4,2,0.5, カラオケに行くときはお友達と行きますか？,音楽
9,6,3,0.5, 最近音楽は聞きましたか？,音楽
9,7,1,0.14, おすすめの曲はありますか？,音楽
9,6,1,0.17, コンサートとかには行きますか？,音楽
9,15,7,0.47, からい食べものとはどんな食べものが好きですか？,食事
9,23,1,0.04, なるほど、普段はどこでスイーツを買いますか？,食事
9,9,6,0.67, お友達とランチに行ったりしますか？,食事
9,30,30,1.0, 甘いものと、からいものどちらがお好きですか？,食事
10,9,4,0.44, すごいですね。,default
10,4,1,0.25, そうですね、わかります。,default
10,31,5,0.16, もう少し詳しく教えていただいていいですか。,default
10,6,5,0.83, ありがとうございます。参考にさせていただきます。,default
10,8,2,0.25, そうですね・・ぜひ参考にさせていただきます。,default
10,18,17,0.94, ありがとうございます。,default
10,19,9,0.47, 本当ですか！,default
10,10,7,0.7, はい、そうです。,default
10,8,4,0.5, 素敵な趣味ですね。,default
10,58,55,0.95, ありがとうございました・・,default
10,1,1,1.0, 大変ですよね。,default
10,2,2,1.0, 面白いですよね。,default
10,1,1,1.0, そうなんですか．私も独自に調べてみますね．,default
10,1,1,1.0, そうなんですか．,default
10,5,4,0.8, すごいですね！,default
10,1,1,1.0, すごい！,default
10,3,2,0.67, よくご存じですね。,default
10,10,6,0.6, そうですか，いいものが見つかるといいですね．,エスエヌエス
10,1,1,1.0, ほかにたいへんだったことはありますか・・,エスエヌエス
10,2,2,1.0, いいですね，私も使ってみたいです！,エスエヌエス
10,10,1,0.1, なるほど、健康的で、ステキですね・・,スポーツ
10,9,7,0.78, いいですね。テレビ観戦も楽しそうですね！,スポーツ
10,2,1,0.5, そういった番組も面白いですよね。,ドラマ
10,12,2,0.17, そとで過ごすときはスポーツをしたりしますか・・,休日
10,1,1,1.0, いぬがたのロボットで、とてもかわいがる人もいるようです。,休日
10,3,3,1.0, 一度ネットワークにつなぐと、あとはラクなようですよ。,休日
10,9,9,1.0, 貴重な体験談をありがとうございました・・,学校
10,5,1,0.2, すごい！面白い体験をされましたね!,旅行
10,20,20,1.0, 貴重な体験談をありがとうございました。,旅行
10,3,2,0.67, がっきは何を演奏するのですか。,音楽
10,2,1,0.5, すごいですね。一度聞かせていただけるとうれしいです。,音楽
10,3,2,0.67, わたしも実際に、演奏をきいてみたいものです。,音楽
10,8,1,0.12, そうですか、とても美味しそうですね・・,食事
10,2,1,0.5, そうですか。最近はまっている食べ物はありますか・・,食事
10,8,5,0.62, どこで食べられたんですか・・,食事
10,2,1,0.5, おばあちゃんがよく家で出してくれていたと言っていました。,食事
10,1,1,1.0, いい思い出だったようです。,食事
11,1,1,1.0, そうなんですね．新しい知識が増えました！ありがとうございます！,default
11,1,1,1.0, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,default
11,1,1,1.0, 楽しそうですね。今度知りあいにすすめてみたいと思います！,アニメ・漫画
11,8,8,1.0, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,エスエヌエス
11,5,5,1.0, 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	,ゲーム
11,6,6,1.0, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,ゲーム
11,19,19,1.0, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,スポーツ
11,2,2,1.0, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ
11,4,4,1.0, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,スポーツ
11,3,3,1.0, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。,休日
11,2,2,1.0, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,休日
11,2,2,1.0, お子さんと遊ぶのは体力が必要で、大変ですよね。,休日
11,1,1,1.0, 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。,休日
11,8,8,1.0, 学生時代で、楽しかったエピソードを教えてください・・,学校
11,5,4,0.8, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,旅行
11,1,1,1.0, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,映画
11,4,4,1.0, 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・,映画
11,2,2,1.0, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽
11,4,4,1.0, なまで演奏をきくと、迫力があって、感動するみたいですね！,音楽
11,8,8,1.0, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,食事
11,8,8,1.0, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,食事
11,4,4,1.0, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事
12,5,1,0.2, それのどういったところが好きなんですか？,default
12,19,14,0.74, 具体的にはどういったものですか？,default
12,20,13,0.65, 具体的に教えてもらっていいですか？,default
12,9,6,0.67, 具体的には何ですか？,default
12,2,1,0.5, そのほかで、おすすめのものはありますか？あったら教えてください．,default
12,13,8,0.62, 具体的には教えてもらえますか？,default
12,3,2,0.67, 具体的に教えてください？,default
12,6,5,0.83, そのほかにおすすめのものはありますか？,default
12,40,28,0.7, それは一体どういった内容なんですか？,アニメ・漫画
12,15,11,0.73, 具体的になんのために利用していますか？,エスエヌエス
12,17,11,0.65, 具体的にどういったものを買いますか？,エスエヌエス
12,4,2,0.5, そのゲームのどんなところが好きなんですか？,ゲーム
12,1,1,1.0, それはなんていう作品なんですか？,ゲーム
12,16,12,0.75, そのほか健康のために、気をつけていることはありますか？,スポーツ
12,9,8,0.89, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ
12,3,3,1.0, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,スポーツ
12,5,4,0.8, そのドラマのどういったところが好きなんですか？,ドラマ
12,9,6,0.67, そのドラマはどんな内容なんですか？,ドラマ
12,1,1,1.0, 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,休日
12,14,6,0.43, その時、どんなことをしたのですか？,学校
12,8,7,0.88, 今までの体験の中で、そのほか、楽しかったことはありますか？,学校
12,23,11,0.48, その旅先で何が一番楽しかったですか？,旅行
12,40,28,0.7, それは一体どういった内容なんですか？,映画
12,4,4,1.0, 映画では洋画，邦画，それ以外のどれが好きですか？,映画
12,3,1,0.33, その本のどういったところが好きなんですか？,本
12,1,1,1.0, そうなんですか，その作品はおすすめですか？,本
12,1,1,1.0, それはどんな「内容」なんですか？,本
12,3,3,1.0, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,本
12,1,1,1.0, その作者のどういったところが好きなんですか？,本
12,10,9,0.9, その歌手のどういうところが好きなんですか？,音楽
12,7,4,0.57, そのきょくのどういうところが好きなんですか？,音楽
12,12,11,0.92, それは「最近」食べられたんですか？,食事
12,20,18,0.9, なるほど、その中でもおすすめのスイーツはありますか？,食事
13,2,1,0.5, おすすめの漫画ってありますか？,アニメ・漫画
13,1,1,1.0, おすすめのアニメってありますか？,アニメ・漫画
13,15,11,0.73, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,エスエヌエス
13,13,7,0.54, おすすめの便利なきのうとかはありますか？,エスエヌエス
13,3,2,0.67, これは「おすすめ」というものはありますか？,エスエヌエス
13,10,1,0.1, 使い心地はどうですか？,エスエヌエス
13,25,10,0.4, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,エスエヌエス
13,21,5,0.24, ショッピングで「アマゾン」などはよく利用しますか？,エスエヌエス
13,5,2,0.4, 最近ハマっているゲームはありますか？,ゲーム
13,3,2,0.67, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,ゲーム
13,6,3,0.5, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,ゲーム
13,5,2,0.4, ゲームはよくする方なんですか？,ゲーム
13,2,1,0.5, 携帯ゲームかテレビゲームならどちらをしますか？,ゲーム
13,1,1,1.0, 好きなゲームやおすすめのゲームってありますか？,ゲーム
13,7,1,0.14, 競技はなにをご覧になりますか？,スポーツ
13,16,7,0.44, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ
13,7,4,0.57, 最近スポーツはしましたか？,スポーツ
13,16,1,0.06, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
13,4,1,0.25, そうですか。テレビでの観戦はなされるんですか？,スポーツ
13,1,1,1.0, スポーツはよくするんですか？,スポーツ
13,15,3,0.2, オリンピックは今までに見たことはありますか？,スポーツ
13,13,2,0.15, さいきんドラマは見ましたか？,ドラマ
13,5,1,0.2, ドラマはよく見る方ですか？,ドラマ
13,2,1,0.5, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,ドラマ
13,4,2,0.5, 健康番組、とかトーク番組とか見られますか？,ドラマ
13,10,6,0.6, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,休日
13,7,4,0.57, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,休日
13,2,1,0.5, 人工知能を搭載した、アイボのようなロボットに興味はありますか？,休日
13,5,2,0.4, 学生時代、たいへんだった体験はありますか？,学校
13,9,3,0.33, 学生時代、一番楽しかった学年はありますか？,学校
13,6,1,0.17, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校
13,3,1,0.33, ほかにたいへんだったことはありますか？,学校
13,3,2,0.67, 最近、学校にはいきましたか？,学校
13,16,4,0.25, ほかには何か面白いことはありましたか？,旅行
13,23,8,0.35, さいきん旅行には行きましたか？,旅行
13,23,1,0.04, 今までいった「旅行」で特におすすめの場所はありますか？,旅行
13,11,3,0.27, 旅行に行くときはなにか目的はありますか？,旅行
13,4,1,0.25, 旅行にはよく行かれますか？,旅行
13,15,4,0.27, 「温泉」などリフレッシュするためにいきますか？,旅行
13,3,1,0.33, 邦画が好きなんですか，おすすめの邦画ってありますか？,映画
13,11,5,0.45, 最近見た映画はありますか？,映画
13,5,1,0.2, 洋画が好きなんですか，おすすめの洋画ってありますか？,映画
13,4,1,0.25, 「映画館」か「テレビ」かどちらでよく映画をみますか？,映画
13,3,2,0.67, では，最近どんな映画を見られたんですか？,映画
13,7,1,0.14, 本はよく読む方ですか？,本
13,3,1,0.33, よく読むんですか。いいですね。おすすめの作者や本はありますか？,本
13,6,2,0.33, 最近本は読みましたか？,本
13,2,1,0.5, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,本
13,14,4,0.29, カラオケは好きですか？,音楽
13,9,1,0.11, カラオケでよくなにをうたうのですか？,音楽
13,4,1,0.25, カラオケに行くときはお友達と行きますか？,音楽
13,6,2,0.33, 最近音楽は聞きましたか？,音楽
13,22,1,0.05, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽
13,8,2,0.25, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
13,7,3,0.43, おすすめの曲はありますか？,音楽
