name,agent_utterance,label,dialogue_act
1902F2001_068, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,2.8,qy
1902F2001_069, なるほど、そうなんですね。,3.8,oa
1902F2001_070, ありがとうございました・・,3.8,oa
1902F2001_071, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,4.8,qy
1902F2001_072, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,5.2,qy
1902F2001_073, なるほど、そういうふうに利用されているのですね。,4.0,oa
1902F2001_074, 具体的になんのために利用していますか？,5.0,qw
1902F2001_075, なるほど、勉強になります・・,4.2,oa
1902F2001_076, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,3.6,qy
1902F2001_077, なるほど、そうなんですね。,4.0,oa
1902F2001_078, これは「おすすめ」というものはありますか？,3.2,qy
1902F2001_079, おすすめの便利なきのうとかはありますか？,3.6,qy
1902F2001_080, なるほど、勉強になります・・,4.0,oa
1902F2001_081, ショッピングで「アマゾン」などはよく利用しますか？,3.0,qy
1902F2001_082, そうなんですね。,3.8,oa
1902F2001_083, それでは少し「学校」について話しましょう！,4.0,op
1902F2001_084, 学生時代、一番楽しかった学年はありますか？,5.0,qy
1902F2001_085, その時、どんなことをしたのですか？,5.4,qw
1902F2001_086, それは楽しい時間でしたね！,4.2,pa
1902F2001_087, ほかにエピソードはありますか？,6.0,qy
1902F2001_088, それはご活躍されたんですね・・,4.0,oa
1902F2001_089, 運動会や、学芸会などのイベントで面白かった体験はありますか？,5.6,qy
1902F2001_090, それはたいへんでしたね。,4.4,oa
1902F2001_091, ほかにたいへんだったことはありますか？,4.6,qy
1902F2001_092, それはたいへんでしたね。,4.0,oa
1902F2001_093, 貴重な体験談をありがとうございました・・,4.0,oa
1902F2001_094, それでは「旅行」について話しましょう,4.0,op
1902F2001_095, さいきん旅行には行きましたか？,5.4,qy
1902F2001_096, 旅行はどこに行ったことがありますか？,6.0,qw
1902F2001_097, すごいですね。,4.4,pa
1902F2001_098, 今までいった「旅行」で特におすすめの場所はありますか？,6.2,qy
1902F2001_099, その旅先で何が一番楽しかったですか？,5.8,qw
1902F2001_100, 具体的には教えてもらえますか？,5.8,qw
1902F2001_101, すごい！面白い体験をされましたね!,3.8,pa
1902F2001_102, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,4.6,qy
1902F2001_103, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,3.8,io
1902F2001_104, 旅行に行くときはなにか目的はありますか？,3.2,qy
1902F2001_105, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,4.6,oa
1902F2001_106, そうなんですね。,4.0,oa
1902F2001_107, なるほど、それは面白そうですね。,3.4,pa
1902F2001_108, 貴重な体験談をありがとうございました。,3.6,oa
1902F2001_109, それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？,4.0,qw
1902F2001_110, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？,3.2,qw
1902F2001_111, なるほど、ありがとうございました。,4.0,oa
1902F2002_001, これから本番の収録を開始します。,4.0,oa
1902F2002_002, はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,4.0,oa
1902F2002_003, きょうはここまでなにで来られましたか？乗り物は乗りましたか？,4.6,qy
1902F2002_004, ここに来るまで迷いませんでしたか・・,4.4,qy
1902F2002_005, 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,4.2,oa
1902F2002_006, きょうは来ていただいてありがとうございます！,4.2,oa
1902F2002_007, それでは「食べ物」について話しましょう！,4.0,op
1902F2002_008, 甘いものと、からいものどちらがお好きですか？,5.0,qw
1902F2002_009, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,4.8,qw
1902F2002_010, 具体的には何ですか？,5.4,qw
1902F2002_011, なるほど、普段はどこでスイーツを買いますか？,5.4,qw
1902F2002_012, なるほど、その中でもおすすめのスイーツはありますか？,5.2,qy
1902F2002_013, そうですか、とても美味しそうですね・・,4.0,pa
1902F2002_014, からい食べものとはどんな食べものが好きですか？,6.0,qw
1902F2002_015, それは「最近」食べられたんですか？,5.2,qy
1902F2002_016, どこで食べられたんですか・・,5.0,qw
1902F2002_017, お友達とランチに行ったりしますか？,5.6,qy
1902F2002_018, どんなところに行きますか？和食ですか洋食ですか？,4.6,qw
1902F2002_019, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,4.4,oa
1902F2002_020, なるほど。,4.0,oa
1902F2002_021, ありがとうございます。,4.2,oa
1902F2002_022, 次に「お休みの日の過ごし方」についてお話ししましょう！,4.0,op
1902F2002_023, 休日は家で過ごすほうが多いですか？外出することが多いですか？,5.2,qw
1902F2002_024, そうなんですね。,4.0,oa
1902F2002_025, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,5.2,qw
1902F2002_026, それでは少し「映画」について話しましょう,4.0,op
1902F2002_027, 最近映画は見ましたか？,5.0,qy
1902F2002_028, それは一体どういった内容なんですか？,5.2,qw
1902F2002_029, それのどういったところが好きなんですか？,5.6,qw
1902F2002_030, なるほど、それは面白そうですね！私も観てみたいです！,4.4,pa
1902F2002_031, ありがとうございます。,4.2,oa
1902F2002_032, では，もう一度見たい映画はありますか？,5.6,qy
1902F2002_033, それは一体どういった内容なんですか？,5.4,qw
1902F2002_034, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,4.4,pa
1902F2002_035, それでは少し「アニメ・漫画」について話しましょう！,4.0,op
1902F2002_036, 見たことのあるものの中で一番好きなものはなんですか？,5.6,qw
1902F2002_037, それは一体どういった内容なんですか？,5.2,qw
1902F2002_038, どういったところが好きなんですか？,5.0,qw
1902F2002_039, それは面白そうですね。,4.4,pa
1902F2002_040, ありがとうございました・・,4.0,oa
1902F2002_041, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F2002_042, それでは少し「本」について話しましょう,4.2,op
1902F2002_043, 最近本は読みましたか？,3.8,qy
1902F2002_044, 本はよく読む方ですか？,4.0,qy
1902F2002_045, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,5.6,qy
1902F2002_046, なるほど、そうなんですね。,4.4,oa
1902F2002_047, 具体的にはどういったものですか？,5.4,qw
1902F2002_048, いいですね，とても興味深いです！,4.6,pa
1902F2002_049, ありがとうございました・・,4.0,oa
1902F2002_050, それでは少し「音楽」について話しましょう！,4.0,op
1902F2002_051, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,5.0,qw
1902F2002_052, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,5.6,qy
1902F2002_053, その歌手のどういうところが好きなんですか？,6.2,qw
1902F2002_054, なるほど、そうなんですね。,4.0,oa
1902F2002_055, おすすめの曲はありますか？,5.6,qy
1902F2002_056, カラオケで歌ったりするのですか？,5.2,qy
1902F2002_057, とても楽しそうですね。,4.2,pa
1902F2002_058, カラオケに行くときはお友達と行きますか？,5.0,qy
1902F2002_059, とても楽しそうですね。,4.8,pa
1902F2002_060, そのほかで、おすすめのものはありますか？あったら教えてください．,3.0,qy
1902F2002_061, そうなんですね。,4.0,oa
1902F2002_062, コンサートとかには行きますか？,5.8,qy
1902F2002_063, なまで演奏をきくと、迫力があって、感動するみたいですね！,6.0,oa
1902F2002_067, ありがとうございます。,4.0,oa
1902F2002_068, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,5.0,qy
1902F2002_069, 具体的になんのために利用していますか？,4.8,qw
1902F2002_070, なるほど、そういうふうに利用されているのですね。,3.8,oa
1902F2002_071, おすすめの便利なきのうとかはありますか？,3.6,qy
1902F2002_072, そうなんですね。,4.2,oa
1902F2002_073, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,3.4,qy
1902F2002_074, そうなんですね。,4.0,oa
1902F2002_075, ショッピングで「アマゾン」などはよく利用しますか？,5.0,qy
1902F2002_076, 使い心地はどうですか？,5.2,qw
1902F2002_077, いいですね，私も使ってみたいです！,5.0,pa
1902F2002_078, 具体的にどういったものを買いますか？,5.4,qw
1902F2002_079, そうですか，いいものが見つかるといいですね．,4.8,oa
1902F2002_080, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F2002_081, それでは「旅行」について話しましょう,4.0,op
1902F2002_082, さいきん旅行には行きましたか？,5.2,qy
1902F2002_083, 旅行はどこに行ったことがありますか？,5.6,qw
1902F2002_084, なるほど、そうなんですね。,4.0,oa
1902F2002_085, 今までいった「旅行」で特におすすめの場所はありますか？,5.4,qy
1902F2002_086, その旅先で何が一番楽しかったですか？,6.2,qw
1902F2002_087, なるほど、それは素晴らしい経験ですね。,4.8,pa
1902F2002_088, その旅先で美味しい食べ物はたべましたか・・,5.6,qy
1902F2002_089, 具体的には教えてもらえますか？,5.8,qw
1902F2002_090, それは、美味しそうですね。,4.6,pa
1902F2002_091, ほかには何か面白いことはありましたか？,5.8,qy
1902F2002_092, なるほど、それは面白そうですね。,4.8,pa
1902F2002_093, 貴重な体験談をありがとうございました。,4.0,oa
1902F2002_094, それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？,4.8,qw
1902F2002_095, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？,5.0,qw
1902F2002_096, なるほど、そうなんですね。,4.2,oa
1902F2002_097, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,3.2,qy
1902F2002_098, 人工知能を搭載した、アイボのようなロボットに興味はありますか？,2.8,qy
1902F2002_099, いぬがたのロボットで、とてもかわいがる人もいるようです。,3.2,io
1902F2002_100, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,3.2,oa
1902F2002_101, 面白いですよね。,4.0,pa
1902F2002_102, ありがとうございました・・,4.0,oa
1902F3001_001, これから本番の収録を開始します。,4.8,oa
1902F3001_002, はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,4.8,oa
1902F3001_003, きょうはここまでなにで来られましたか？乗り物は乗りましたか？,5.4,qy
1902F3001_004, ここに来るまで迷いませんでしたか・・,5.4,qy
1902F3001_005, 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,5.4,oa
1902F3001_006, きょうは来ていただいてありがとうございます！,5.0,oa
1902F3001_007, それでは「食べ物」について話しましょう！,4.2,op
1902F3001_008, 甘いものと、からいものどちらがお好きですか？,5.4,qw
1902F3001_009, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,5.6,qw
1902F3001_010, なるほど、普段はどこでスイーツを買いますか？,4.2,qw
1902F3001_011, 具体的に教えてもらっていいですか？,4.8,qw
1902F3001_012, なるほど、その中でもおすすめのスイーツはありますか？,6.0,qy
1902F3001_013, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,3.8,pa
1902F3001_014, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F3001_016, 次に「お休みの日の過ごし方」についてお話ししましょう！,4.0,op
1902F3001_017, 休日は家で過ごすほうが多いですか？外出することが多いですか？,4.8,qw
1902F3001_018, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,4.6,qw
1902F3001_019, それでは少し「ゲーム」について話しましょう,2.8,op
1902F3001_020, ゲームはよくする方なんですか？,3.2,qy
1902F3001_021, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,3.4,qy
1902F3001_022, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,4.2,oa
1902F3001_023, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,3.2,qy
1902F3001_026, それでは少し「音楽」について話しましょう！,4.0,op
1902F3001_027, 最近音楽は聞きましたか？,5.0,qy
1902F3001_028, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,5.4,qw
1902F3001_029, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,5.4,qy
1902F3001_030, その歌手のどういうところが好きなんですか？,5.0,qw
1902F3001_031, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,3.8,qy
1902F3001_032, なるほど、そうなんですね。,3.6,oa
1902F3001_033, そのほかで、おすすめのものはありますか？あったら教えてください．,4.8,qy
1902F3001_034, ありがとうございました・・,4.0,oa
1902F3001_035, それではつぎの話題にうつりたいとおもいます。,3.8,op
1902F3001_036, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,5.4,qy
1902F3001_037, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,5.8,qy
1902F3001_038, なるほど、そういうふうに利用されているのですね。,4.2,oa
1902F3001_039, おすすめの便利なきのうとかはありますか？,4.2,qy
1902F3001_040, なるほど、勉強になります・・,3.6,oa
1902F3001_041, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,3.6,qy
1902F3001_042, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,3.4,qy
1902F3001_043, これは「おすすめ」というものはありますか？,2.8,qy
1902F3001_044, ショッピングで「アマゾン」などはよく利用しますか？,5.0,qy
1902F3001_045, 使い心地はどうですか？,5.2,qw
1902F3001_046, そうですか，いいものが見つかるといいですね．,4.6,oa
1902F3001_047, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F3001_048, それでは少し「学校」について話しましょう！,4.0,op
1902F3001_049, 学生時代で、楽しかったエピソードを教えてください・・,5.6,qw
1902F3001_050, 学生時代、一番楽しかった学年はありますか？,3.6,qy
1902F3001_051, はい、そうです。,4.6,oa
1902F3001_052, その時、どんなことをしたのですか？,4.8,qw
1902F3001_053, 運動会や、学芸会などのイベントで面白かった体験はありますか？,4.0,qy
1902F3001_054, それは面白い体験ですね！,2.8,pa
1902F3001_055, 最近、学校にはいきましたか？,4.6,qy
1902F3001_056, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,4.6,qy
1902F3001_057, 具体的にはどういったものですか？,5.2,qw
1902F3001_058, それはたいへんでしたね。,4.2,oa
1902F3001_059, そうですか、貴重な体験談をありがとうございました・・,4.0,oa
1902F3001_060, それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？,3.2,qw
1902F3001_061, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？,5.2,qw
1902F3001_062, そうなんですね。,4.0,oa
1902F3001_063, なるほど、ありがとうございました。,4.2,oa
1902F3002_001, これから本番の収録を開始します。,4.0,oa
1902F3002_002, はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,4.2,oa
1902F3002_003, きょうはここまでなにで来られましたか？乗り物は乗りましたか？,4.8,qy
1902F3002_004, ここに来るまで迷いませんでしたか・・,5.2,qy
1902F3002_005, 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,5.0,oa
1902F3002_006, きょうは来ていただいてありがとうございます！,4.8,oa
1902F3002_007, それでは「食べ物」について話しましょう！,4.0,op
1902F3002_008, 甘いものと、からいものどちらがお好きですか？,5.2,qw
1902F3002_009, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,6.2,qw
1902F3002_010, なるほど、普段はどこでスイーツを買いますか？,5.0,qw
1902F3002_011, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,6.0,qy
1902F3002_012, なるほど、その中でもおすすめのスイーツはありますか？,6.0,qy
1902F3002_013, 具体的にどういう味か教えてください。,6.0,qw
1902F3002_014, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,5.0,pa
1902F3002_015, お友達とランチに行ったりしますか？,5.2,qy
1902F3002_016, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,5.0,oa
1902F3002_017, 楽しそうですね！,3.8,pa
1902F3002_018, どんなところに行きますか？和食ですか洋食ですか？,4.8,qw
1902F3002_019, たのしそうですね。,4.4,pa
1902F3002_020, ありがとうございました・・,4.6,oa
1902F3002_021, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F3002_022, 次に「お休みの日の過ごし方」についてお話ししましょう！,4.4,op
1902F3002_023, 休日は家で過ごすほうが多いですか？外出することが多いですか？,5.0,qw
1902F3002_024, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,5.2,qw
1902F3002_025, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,4.8,qw
1902F3002_026, それは大変ですよね。,3.8,oa
1902F3002_027, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,4.8,qy
1902F3002_028, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,5.0,qy
1902F3002_029, なるほど、そうなんですね。,3.8,oa
1902F3002_030, 一度ネットワークにつなぐと、あとはラクなようですよ。,4.6,oa
1902F3002_031, それでは少し「ドラマ」の話をしましょう！,4.0,op
1902F3002_032, さいきんドラマは見ましたか？,5.2,qy
1902F3002_033, 具体的に教えてもらっていいですか？,4.8,qw
1902F3002_034, そのドラマはどんな内容なんですか？,5.0,qw
1902F3002_035, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,4.2,pa
1902F3002_036, それでは少し「音楽」について話しましょう！,4.2,op
1902F3002_037, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,5.0,qw
1902F3002_038, 具体的に教えてください？,5.2,qw
1902F3002_039, その歌手のどういうところが好きなんですか？,5.4,qw
1902F3002_040, おすすめの曲はありますか？,5.4,qy
1902F3002_041, 具体的には何ですか？,4.8,qw
1902F3002_042, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,4.0,pa
1902F3002_043, それでは少し「映画」について話しましょう,4.2,op
1902F3002_044, 最近映画は見ましたか？,4.4,qy
1902F3002_045, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,5.2,qw
1902F3002_046, それのどういったところが好きなんですか？,6.0,qw
1902F3002_047, なるほど，では私もチェックしておきますね！,4.0,oa
1902F3002_048, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,4.8,qy
1902F3002_049, なるほど、そういうふうに利用されているのですね。,4.0,oa
1902F3002_050, ショッピングで「アマゾン」などはよく利用しますか？,4.8,qy
1902F3002_051, 具体的にどういったものを買いますか？,5.2,qw
1902F3002_052, なるほど、そうなんですね。,4.0,oa
1902F3002_053, そうですか，いいものが見つかるといいですね．,4.0,oa
1902F3002_054, ありがとうございました・・,4.0,oa
1902F3002_055, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F3002_056, それでは「旅行」について話しましょう,3.8,op
1902F3002_057, さいきん旅行には行きましたか？,5.4,qy
1902F3002_058, 旅行はどこに行ったことがありますか？,5.6,qw
1902F3002_059, もう少し詳しく教えていただいていいですか。,3.6,qw
1902F3002_060, 今までいった「旅行」で特におすすめの場所はありますか？,5.6,qy
1902F3002_061, それは、美味しそうですね。,4.2,pa
1902F3002_062, その旅先で何が一番楽しかったですか？,5.8,qw
1902F3002_063, その旅先で何かハプニングはありましたか!,3.8,qy
1902F3002_064, ほかには何か面白いことはありましたか？,4.4,qy
1902F3002_065, 旅行に行くときはなにか目的はありますか？,5.6,qy
1902F3002_066, なるほど、それは面白そうですね。,4.4,pa
1902F3002_067, すみません。なにか言いかけましたか？,5.0,qy
1902F3002_068, なるほど、そうなんですね。,4.0,oa
1902F3002_069, 貴重な体験談をありがとうございました。,4.0,oa
1902F3002_070, それでは少し「学校」について話しましょう！,4.2,op
1902F3002_071, 学生時代、一番楽しかった学年はありますか？,3.2,qy
1902F3002_072, はい、そうです。,3.8,oa
1902F3002_073, はい、そうです。,2.8,oa
1902F3002_074, その時、どんなことをしたのですか？,4.6,qw
1902F3002_075, 運動会や、学芸会などのイベントで面白かった体験はありますか？,4.4,qy
1902F3002_076, それは面白い体験ですね！,4.8,pa
1902F3002_077, ほかにエピソードはありますか？,5.8,qy
1902F3002_078, 面白かったんですね！,4.8,pa
1902F3002_079, 貴重な体験談をありがとうございました・・,4.0,oa
1902F3002_080, それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？,4.0,qw
1902F3002_081, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？,5.0,qw
1902F3002_082, なるほど、ありがとうございました。,4.0,oa
1902F4001_001, これから本番の収録を開始します。,4.4,oa
1902F4001_002, はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,4.4,oa
1902F4001_003, きょうはここまでなにで来られましたか？乗り物は乗りましたか？,4.4,qy
1902F4001_004, ここに来るまで迷いませんでしたか・・,4.4,qy
1902F4001_005, 時間はどのくらいかかりましたか？,4.6,qw
1902F4001_006, 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,5.2,oa
1902F4001_007, きょうは来ていただいてありがとうございます！,5.0,oa
1902F4001_008, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F4001_009, それでは「食べ物」について話しましょう！,4.0,op
1902F4001_010, 甘いものと、からいものどちらがお好きですか？,5.2,qw
1902F4001_011, からい食べものとはどんな食べものが好きですか？,4.6,qw
1902F4001_012, 具体的にどういう味か、教えてください。,4.0,qw
1902F4001_013, そのほかにおすすめのものはありますか？,3.2,qy
1902F4001_014, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,3.2,qy
1902F4001_015, なるほど、そうなんですね。,4.0,oa
1902F4001_016, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,5.0,qw
1902F4001_017, なるほど、普段はどこでスイーツを買いますか？,5.4,qw
1902F4001_018, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,5.8,qy
1902F4001_019, 具体的に教えてもらっていいですか？,6.2,qw
1902F4001_020, そうですね・・ぜひ参考にさせていただきます。,4.8,pa
1902F4001_021, とても美味しそうなので、今度知りあいにもすすめてみようと思います・・,5.2,pa
1902F4001_022, 次に「お休みの日の過ごし方」についてお話ししましょう！,4.0,op
1902F4001_023, 休日は家で過ごすほうが多いですか？外出することが多いですか？,4.8,qw
1902F4001_024, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,4.6,qw
1902F4001_025, それでは少し「映画」について話しましょう,4.2,op
1902F4001_026, 最近見た映画はありますか？,5.4,qy
