agent_utterance,da5_old,da5_new
 さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,question_depend_x,question_depend_x
 さいきんドラマは見ましたか？,question_depend_x,question_depend_x
 さいきん旅行には行きましたか？,question_depend_x,question_depend_x
 そうですか。テレビでの観戦はなされるんですか？,question_depend_x,question_depend_x
 ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,question_depend_x,question_depend_x
 では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,question_depend_x,question_depend_x
 では，おすすめのドラマは何ですか？よろしければ教えてください。,question_depend_x,question_depend_x
 では，もう一度見たい映画はありますか？,question_depend_x,question_depend_x
 では，最近どんな映画を見られたんですか？,question_depend_x,question_depend_x
 どういったところが好きなんですか？,question_depend_x,question_depend_x
 どんなところに行きますか？和食ですか洋食ですか？,question_depend_x,question_depend_x
 どんなスポーツをされましたか？,question_depend_x,question_depend_x
 なにかおすすめのスポーツ観戦はありますか？,question_depend_x,question_depend_x
 なるほど、普段はどこでスイーツを買いますか？,question_depend_x,question_depend_x
 ほかにたいへんだったことはありますか？,question_depend_x,question_depend_x
 ほかには、ありますか？,question_depend_x,question_depend_x
 ほかには何か面白いことはありましたか？,question_depend_x,question_depend_x
 ほかにエピソードはありますか？,question_depend_x,question_depend_x
 よく読むんですか。いいですね。おすすめの作者や本はありますか？,question_depend_x,question_depend_x
 オリンピックは今までに見たことはありますか？,question_depend_x,question_depend_x
 カラオケでよくなにをうたうのですか？,question_depend_x,question_depend_x
 カラオケで歌ったりするのですか？,question_depend_x,question_depend_x
 カラオケに行くときはお友達と行きますか？,question_depend_x,question_depend_x
 カラオケは好きですか？,question_depend_x,question_depend_x
 クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？,question_depend_x,question_depend_x
 グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,question_depend_x,question_depend_x
 ゲームはよくする方なんですか？,question_depend_x,question_depend_x
 コンサートとかには行きますか？,question_depend_x,question_depend_x
 ショッピングで「アマゾン」などはよく利用しますか？,question_depend_x,question_depend_x
 スポーツはよくするんですか？,question_depend_x,question_depend_x
 スポーツをする目的は何ですか？,question_depend_x,question_depend_x
 ドラマはよく見る方ですか？,question_depend_x,question_depend_x
 一番好きなシーンなどはありますか？,question_depend_x,question_depend_x
 人工知能を搭載した、アイボのようなロボットに興味はありますか？,question_depend_x,question_depend_x
 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,question_depend_x,question_depend_x
 今までいった「旅行」で特におすすめの場所はありますか？,question_depend_x,question_depend_x
 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,question_depend_x,question_depend_x
 休日は家で過ごすほうが多いですか？外出することが多いですか？,question_depend_x,question_depend_x
 何をして遊ぶことが多いですか？,question_depend_x,question_depend_x
 使い心地はどうですか？,question_depend_x,question_depend_x
 健康のため、とか、リフレッシュするため、とかですか？,question_depend_x,question_depend_x
 健康番組、とかトーク番組とか見られますか？,question_depend_x,question_depend_x
 好きなゲームやおすすめのゲームってありますか？,question_depend_x,question_depend_x
 好きなスポーツはなんですか？,question_depend_x,question_depend_x
 学生時代、たいへんだった体験はありますか？,question_depend_x,question_depend_x
 学生時代、一番楽しかった学年はありますか？,question_depend_x,question_depend_x
 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,question_depend_x,question_depend_x
 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,question_depend_x,question_depend_x
 携帯ゲームかテレビゲームならどちらをしますか？,question_depend_x,question_depend_x
 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,question_depend_x,question_depend_x
 旅行にはよく行かれますか？,question_depend_x,question_depend_x
 旅行に行くときはなにか目的はありますか？,question_depend_x,question_depend_x
 旅行はどこに行ったことがありますか？,question_depend_x,question_depend_x
 日本で開催されるオリンピックを、見にいく予定はありますか？,question_depend_x,question_depend_x
 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,question_depend_x,question_depend_x
 最近、学校にはいきましたか？,question_depend_x,question_depend_x
 最近アニメや漫画をよく見ますか？,question_depend_x,question_depend_x
 最近スポーツはしましたか？,question_depend_x,question_depend_x
 最近ハマっているゲームはありますか？,question_depend_x,question_depend_x
 最近映画は見ましたか？,question_depend_x,question_depend_x
 最近本は読みましたか？,question_depend_x,question_depend_x
 最近見た映画はありますか？,question_depend_x,question_depend_x
 最近音楽は聞きましたか？,question_depend_x,question_depend_x
 本はよく読む方ですか？,question_depend_x,question_depend_x
 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,question_depend_x,question_depend_x
 洋画が好きなんですか，おすすめの洋画ってありますか？,question_depend_x,question_depend_x
 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,question_depend_x,question_depend_x
 甘いものと、からいものどちらがお好きですか？,question_depend_x,question_depend_x
 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,question_depend_x,question_depend_x
 競技はなにをご覧になりますか？,question_depend_x,question_depend_x
 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,question_depend_x,question_depend_x
 見たことのあるものの中で一番好きなものはなんですか？,question_depend_x,question_depend_x
 見るのが好きなんですね．最近はどこで見たんですか？,question_depend_x,question_depend_x
 運動会や、学芸会などのイベントで面白かった体験はありますか？,question_depend_x,question_depend_x
 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,question_depend_x,question_depend_x
 邦画が好きなんですか，おすすめの邦画ってありますか？,question_depend_x,question_depend_x
 そうですか。そのスポーツはテレビで鑑賞はされますか・・,response_demonstrative_o,response_demonstrative_o
 そうなんですか．それでは一度独自で調べてみたいと思います．,response_demonstrative_o,response_demonstrative_o
 そのスポーツのおすすめポイントを教えてください＾＾,response_demonstrative_o,response_demonstrative_o
 その旅先で何かハプニングはありましたか!,response_demonstrative_o,response_demonstrative_o
 その旅先で美味しい食べ物はたべましたか・・,response_demonstrative_o,response_demonstrative_o
 それは、美味しそうですね。,response_demonstrative_o,response_demonstrative_o
 それはご活躍されたんですね・・,response_demonstrative_o,response_demonstrative_o
 それはたいへんでしたね。,response_demonstrative_o,response_demonstrative_o
 それは大変ですよね。,response_demonstrative_o,response_demonstrative_o
 それは楽しい時間でしたね！,response_demonstrative_o,response_demonstrative_o
 それは面白い体験ですね！,response_demonstrative_o,response_demonstrative_o
 それは面白そうですね。,response_demonstrative_o,response_demonstrative_o
 なるほど、それはリラックスできますね。,response_demonstrative_o,response_demonstrative_o
 なるほど、それは素晴らしい経験ですね。,response_demonstrative_o,response_demonstrative_o
 なるほど、それは美味しそうですね・・,response_demonstrative_o,response_demonstrative_o
 なるほど、それは面白そうですね。,response_demonstrative_o,response_demonstrative_o
 なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,response_demonstrative_o,response_demonstrative_o
 なるほど、それは面白そうですね。今度知りあいにすすめてみます。,response_demonstrative_o,response_demonstrative_o
 なるほど、それは面白そうですね！私も観てみたいです！,response_demonstrative_o,response_demonstrative_o
 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,response_demonstrative_o,response_demonstrative_o
 具体的にどういう味か教えてください。,response_demonstrative_o,response_demonstrative_o
 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,response_demonstrative_x,response_demonstrative_x
 ありがとうございました・・,response_demonstrative_x,response_demonstrative_x
 ありがとうございます。,response_demonstrative_x,response_demonstrative_x
 ありがとうございます。参考にさせていただきます。,response_demonstrative_x,response_demonstrative_x
 いいですね。テレビ観戦も楽しそうですね！,response_demonstrative_x,response_demonstrative_x
 いいですね，とても興味深いです！,response_demonstrative_x,response_demonstrative_x
 いいですね，私も使ってみたいです！,response_demonstrative_x,response_demonstrative_x
 いいですね．使ってみると面白そうですね！,response_demonstrative_x,response_demonstrative_x
 いい思い出だったようです。,response_demonstrative_x,response_demonstrative_x
 いぬがたのロボットで、とてもかわいがる人もいるようです。,response_demonstrative_x,response_demonstrative_x
 おばあちゃんがよく家で出してくれていたと言っていました。,response_demonstrative_x,response_demonstrative_x
 がっきは何を演奏するのですか。,response_demonstrative_x,response_demonstrative_x
 すごいですね。,response_demonstrative_x,response_demonstrative_x
 すごいですね。一度聞かせていただけるとうれしいです。,response_demonstrative_x,response_demonstrative_x
 すごいですね！,response_demonstrative_x,response_demonstrative_x
 すごい！,response_demonstrative_x,response_demonstrative_x
 すごい！面白い体験をされましたね!,response_demonstrative_x,response_demonstrative_x
 そういった番組も面白いですよね。,response_demonstrative_x,response_demonstrative_x
 そうですか、とても美味しそうですね・・,response_demonstrative_x,response_demonstrative_x
 そうですか、なかなかですね。,response_demonstrative_x,response_demonstrative_x
 そうですか、残念です・・,response_demonstrative_x,response_demonstrative_x
 そうですか。最近はまっている食べ物はありますか・・,response_demonstrative_x,response_demonstrative_x
 そうですか，いいものが見つかるといいですね．,response_demonstrative_x,response_demonstrative_x
 そうですか，では一度独自で調べてみますね！,response_demonstrative_x,response_demonstrative_x
 そうですね、わかります。,response_demonstrative_x,response_demonstrative_x
 そうですね。,response_demonstrative_x,response_demonstrative_x
 そうですね・・ぜひ参考にさせていただきます。,response_demonstrative_x,response_demonstrative_x
 そうなんですか．,response_demonstrative_x,response_demonstrative_x
 そうなんですか．私も独自に調べてみますね．,response_demonstrative_x,response_demonstrative_x
 そうなんですね。,response_demonstrative_x,response_demonstrative_x
 そとで過ごすときはスポーツをしたりしますか・・,response_demonstrative_x,response_demonstrative_x
 たのしそうですね。,response_demonstrative_x,response_demonstrative_x
 とても楽しそうですね。,response_demonstrative_x,response_demonstrative_x
 どこで食べられたんですか・・,response_demonstrative_x,response_demonstrative_x
 なるほど、そういうふうに利用されているのですね。,response_demonstrative_x,response_demonstrative_x
 なるほど、そうなんですね。,response_demonstrative_x,response_demonstrative_x
 なるほど、そうなんですね・・,response_demonstrative_x,response_demonstrative_x
 なるほど、よくご存じですね・・,response_demonstrative_x,response_demonstrative_x
 なるほど、健康的で、ステキですね・・,response_demonstrative_x,response_demonstrative_x
 なるほど、勉強になります・・,response_demonstrative_x,response_demonstrative_x
 なるほど、面白そうですね！,response_demonstrative_x,response_demonstrative_x
 なるほど。,response_demonstrative_x,response_demonstrative_x
 なるほど，では私もチェックしておきますね！,response_demonstrative_x,response_demonstrative_x
 はい、そうです。,response_demonstrative_x,response_demonstrative_x
 ほかにたいへんだったことはありますか・・,response_demonstrative_x,response_demonstrative_x
 もう少し詳しく教えていただいていいですか。,response_demonstrative_x,response_demonstrative_x
 よくご存じですね。,response_demonstrative_x,response_demonstrative_x
 わたしも実際に、演奏をきいてみたいものです。,response_demonstrative_x,response_demonstrative_x
 一度ネットワークにつなぐと、あとはラクなようですよ。,response_demonstrative_x,response_demonstrative_x
 大変ですよね。,response_demonstrative_x,response_demonstrative_x
 本当ですか！,response_demonstrative_x,response_demonstrative_x
 楽しそうですね！,response_demonstrative_x,response_demonstrative_x
 素敵な趣味ですね。,response_demonstrative_x,response_demonstrative_x
 貴重な体験をされましたね・・,response_demonstrative_x,response_demonstrative_x
 貴重な体験談をありがとうございました。,response_demonstrative_x,response_demonstrative_x
 貴重な体験談をありがとうございました・・,response_demonstrative_x,response_demonstrative_x
 面白いですよね。,response_demonstrative_x,response_demonstrative_x
 面白かったんですね！,response_demonstrative_x,response_demonstrative_x
