cls,theme,agent_utterance,agent_utterance_refine
re_d_x,default, すごいですね！, すごいですね！
re_d_x,default, すごい！, すごい！
re_d_x,default, すごい！, すごい！
re_d_x,default, そうですか、なかなかですね。, そうですか、なかなかですね。
re_d_x,default, そうですか、残念です・・, そうですか、残念です。
re_d_x,default, そうですね・・ぜひ参考にさせていただきます。, そうですね、ぜひ参考にさせていただきます。
re_d_x,default, そうですね、わかります。, そうですね、わかります。
re_d_x,default, そうですね。, そうですね。
re_d_x,default, そうなんですか．, そうなんですか。
re_d_x,default, そうなんですか．私も独自に調べてみますね．, そうなんですか。私も独自に調べてみますね。
re_d_x,default, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！
re_d_x,default, そうなんですね．新しい知識が増えました！ありがとうございます！, そうなんですね、新しい知識が増えました！ありがとうございます！
re_d_x,default, そうなんですね。, そうなんですね。
re_d_x,default, なるほど、そうなんですね。, なるほど、そうなんですね。
re_d_x,default, なるほど、そうなんですね・・, なるほど、そうなんですね。
re_d_x,default, なるほど、よくご存じですね・・, なるほど、よくご存じですね。
re_d_x,default, なるほど、勉強になります・・, なるほど、勉強になります。
re_d_x,default, なるほど、面白そうですね！, なるほど、面白そうですね！
re_d_x,default, なるほど、面白そうですね！, なるほど、面白そうですね！
re_d_x,default, なるほど。, なるほど。
re_d_x,default, よくご存じですね。, よくご存じですね。
re_d_x,default, 大変ですよね。, 大変ですよね。
re_d_x,default, 本当ですか！, 本当ですか！
re_d_x,default, 本当ですか！, 本当ですか！
re_d_x,default, たのしそうですね。, 楽しそうですね。
re_d_x,default, たのしそうですね。, 楽しそうですね。
re_d_x,default, 楽しそうですね！, 楽しそうですね！
re_d_x,default, 楽しそうですね！, 楽しそうですね！
re_d_x,default, 面白いですよね。, 面白いですよね。
re_d_x,default, 面白いですよね。, 面白いですよね。
re_s_o,旅行, なるほど、それはリラックスできますね。, なるほど、それはリラックスできますね。
re_s_o,旅行, なるほど、それは素晴らしい経験ですね。, なるほど、それは素晴らしい経験ですね。
re_s_o,食事, なるほど、それは美味しそうですね・・, なるほど、それは美味しそうですね。
re_s_x,スポーツ, いいですね。テレビ観戦も楽しそうですね！, いいですね。テレビ観戦も楽しそうですね！
re_s_x,スポーツ, なるほど、健康的で、ステキですね・・, なるほど、健康的で素敵ですね。
re_s_x,スポーツ, なるほど、面白そうですね，機会があればわたしも見てみたいです！, なるほど、面白そうですね。機会があれば私も見てみたいです！
re_s_x,旅行, すごい！面白い体験をされましたね!, すごい！面白い体験をされましたね!
re_s_x,旅行, 貴重な体験談をありがとうございました。, 貴重な体験談をありがとうございました。
re_s_x,音楽, すごいですね。一度聞かせていただけるとうれしいです。, すごいですね。一度聞かせていただけるとうれしいです。
re_s_x,音楽, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
re_s_x,音楽, とても楽しそうですね。, とても楽しそうですね。
re_s_x,音楽, なまで演奏をきくと、迫力があって、感動するみたいですね！, なまで演奏をきくと、迫力があって、感動するみたいですね！
re_s_x,音楽, わたしも実際に、演奏をきいてみたいものです。, わたしも実際に、演奏をきいてみたいものです。
re_s_x,食事, そうですか、とても美味しそうですね・・, そうですか、とても美味しそうですね。
re_s_x,食事, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・, とても美味しそうですね。今度知りあいにもすすめてみようと思います。
thank,default, ありがとうございました・・, ありがとうございました。
thank,default, ありがとうございます。, ありがとうございます。
thank,default, ありがとうございます。参考にさせていただきます。, ありがとうございます。参考にさせていただきます。
