name,theme_index,agent_utterance
1902F4005_016,7, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F4007_014,5, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F4009_016,7, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F4010_013,5, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F4011_012,5, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F6001_012,3, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F7001_012,4, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F7002_011,4, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902M3001_014,5, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902M4001_015,5, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902M4003_013,5, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902M5001_012,4, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902M7001_015,6, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F2001_021,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F2002_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F3001_017,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F3002_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4001_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4002_018,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4003_019,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4004_021,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4005_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4006_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4007_019,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4008_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4009_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4010_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F4011_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F6001_025,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F7001_020,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F7002_022,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F7003_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M2001_027,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M3001_017,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M4001_020,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M4002_019,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M4003_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M5001_016,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M5002_024,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M5003_022,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M7001_028,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902M7002_023,1, 休日は家で過ごすほうが多いですか？外出することが多いですか？
1902F2001_023,3, 最近スポーツはしましたか？
1902F4006_061,1, 最近スポーツはしましたか？
1902F7003_025,3, 最近スポーツはしましたか？
1902M4002_045,1, 最近スポーツはしましたか？
1902M4003_078,1, 最近スポーツはしましたか？
1902M7001_061,1, 最近スポーツはしましたか？
1902M7002_043,1, 最近スポーツはしましたか？
1902F2001_024,4, 好きなスポーツはなんですか？
1902F4001_036,1, 好きなスポーツはなんですか？
1902M5003_054,16, 好きなスポーツはなんですか？
1902F2001_027,7, スポーツをする目的は何ですか？
1902F4001_040,5, スポーツをする目的は何ですか？
1902F4007_020,2, スポーツをする目的は何ですか？
1902F7002_026,5, スポーツをする目的は何ですか？
1902M2001_029,3, スポーツをする目的は何ですか？
1902M7002_046,4, スポーツをする目的は何ですか？
1902F2001_031,11, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F4003_023,5, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F4005_041,16, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F4006_068,8, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F4007_025,7, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F4009_066,9, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F4010_031,9, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F6001_032,8, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F6002_032,14, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F7001_028,9, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F7002_032,11, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F7003_032,10, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M2001_033,7, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M4001_026,7, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M4002_051,7, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M4003_080,3, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M5002_031,8, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M5003_058,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M7001_066,6, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902M7002_053,11, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
1902F2001_033,13, オリンピックは今までに見たことはありますか？
1902F4003_027,9, オリンピックは今までに見たことはありますか？
1902F4005_043,18, オリンピックは今までに見たことはありますか？
1902F4006_070,10, オリンピックは今までに見たことはありますか？
1902F4007_029,11, オリンピックは今までに見たことはありますか？
1902F4010_033,11, オリンピックは今までに見たことはありますか？
1902F6001_034,10, オリンピックは今までに見たことはありますか？
1902F7001_030,11, オリンピックは今までに見たことはありますか？
1902F7002_034,13, オリンピックは今までに見たことはありますか？
1902M4001_030,11, オリンピックは今までに見たことはありますか？
1902M4002_053,9, オリンピックは今までに見たことはありますか？
1902M4003_083,5, オリンピックは今までに見たことはありますか？
1902M5002_033,10, オリンピックは今までに見たことはありますか？
1902M5003_060,22, オリンピックは今までに見たことはありますか？
1902M7002_055,13, オリンピックは今までに見たことはありますか？
1902F2001_038,18, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F4003_025,7, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F4005_044,19, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F4006_072,12, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F4007_027,9, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F4009_068,11, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F4010_034,12, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F7002_038,17, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M2001_036,10, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M4001_028,9, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M4002_054,10, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M4003_084,6, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M5002_037,14, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M5003_063,25, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M7001_069,9, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902M7002_059,17, 日本で開催されるオリンピックを、見にいく予定はありますか？
1902F2001_040,20, なにかおすすめのスポーツ観戦はありますか？
1902F4010_036,14, なにかおすすめのスポーツ観戦はありますか？
1902F7002_041,20, なにかおすすめのスポーツ観戦はありますか？
1902M4001_022,3, なにかおすすめのスポーツ観戦はありますか？
1902M7002_045,3, なにかおすすめのスポーツ観戦はありますか？
1902F2001_043,23, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F2002_025,3, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F3001_018,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F3002_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4001_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4002_019,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4003_031,13, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4004_022,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4005_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4006_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4007_033,15, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4008_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4009_028,6, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4010_039,17, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F4011_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F6002_025,7, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M2001_039,13, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M3001_018,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M4001_035,15, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M4002_020,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M4003_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M5001_017,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M5002_039,16, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M5003_023,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M7001_029,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902M7002_024,2, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1902F2001_045,1, 最近見た映画はありますか？
1902F4001_026,1, 最近見た映画はありますか？
1902F4004_042,1, 最近見た映画はありますか？
1902F4008_039,1, 最近見た映画はありますか？
1902F6001_069,1, 最近見た映画はありますか？
1902F7001_055,5, 最近見た映画はありますか？
1902M3001_020,1, 最近見た映画はありますか？
1902M4001_036,16, 最近見た映画はありますか？
1902M4002_034,1, 最近見た映画はありますか？
1902M5001_020,1, 最近見た映画はありますか？
1902M5002_041,1, 最近見た映画はありますか？
1902F2001_047,3, 洋画が好きなんですか，おすすめの洋画ってありますか？
1902F4001_027,2, 洋画が好きなんですか，おすすめの洋画ってありますか？
1902F4004_044,3, 洋画が好きなんですか，おすすめの洋画ってありますか？
1902M3001_021,2, 洋画が好きなんですか，おすすめの洋画ってありますか？
1902M5001_021,2, 洋画が好きなんですか，おすすめの洋画ってありますか？
1902F2001_051,8, では，もう一度見たい映画はありますか？
1902F2002_032,7, では，もう一度見たい映画はありますか？
1902M4001_040,20, では，もう一度見たい映画はありますか？
1902M4002_038,5, では，もう一度見たい映画はありますか？
1902F2001_054,11, 「映画館」か「テレビ」かどちらでよく映画をみますか？
1902F4001_030,5, 「映画館」か「テレビ」かどちらでよく映画をみますか？
1902M4002_040,7, 「映画館」か「テレビ」かどちらでよく映画をみますか？
1902M5001_024,6, 「映画館」か「テレビ」かどちらでよく映画をみますか？
1902F2001_058,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F2002_051,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F3001_028,2, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F3002_037,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F4002_022,2, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F4003_034,2, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F4006_044,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F4007_039,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F4009_048,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F4010_051,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F4011_042,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F6001_057,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F6002_038,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F7001_039,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F7002_056,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F7003_054,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902M4003_042,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902M5001_028,2, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902M5002_056,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902M5003_039,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902M7001_046,8, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902M7002_034,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
1902F2001_059,2, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
1902F3001_029,3, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
1902F6001_058,2, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
1902M4003_043,2, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
1902M5001_030,4, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
1902M5002_057,2, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
1902F2001_064,7, カラオケは好きですか？
1902F4006_048,5, カラオケは好きですか？
1902F4007_042,4, カラオケは好きですか？
1902F4009_053,6, カラオケは好きですか？
1902F4010_053,3, カラオケは好きですか？
1902F4011_047,6, カラオケは好きですか？
1902F6001_061,5, カラオケは好きですか？
1902F7001_041,3, カラオケは好きですか？
1902F7003_055,2, カラオケは好きですか？
1902M4003_046,5, カラオケは好きですか？
1902M5002_060,5, カラオケは好きですか？
1902M5003_048,10, カラオケは好きですか？
1902M7002_035,2, カラオケは好きですか？
1902M7002_036,3, カラオケは好きですか？
1902F2001_065,8, カラオケでよくなにをうたうのですか？
1902F4007_043,5, カラオケでよくなにをうたうのですか？
1902F4011_048,7, カラオケでよくなにをうたうのですか？
1902F6001_064,8, カラオケでよくなにをうたうのですか？
1902F7001_042,4, カラオケでよくなにをうたうのですか？
1902F7003_058,5, カラオケでよくなにをうたうのですか？
1902M5002_061,6, カラオケでよくなにをうたうのですか？
1902M5003_049,11, カラオケでよくなにをうたうのですか？
1902M7002_037,4, カラオケでよくなにをうたうのですか？
1902F2001_071,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F2002_068,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F3001_036,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F3002_048,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4001_044,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4002_042,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4003_039,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4004_048,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4005_053,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4006_075,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4008_044,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4009_073,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4010_059,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F4011_056,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F6001_071,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F7001_066,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F7002_080,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M2001_051,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M3001_053,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M4002_059,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M4003_053,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M5001_033,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M5002_069,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M5003_067,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902M7001_038,0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1902F2001_076,5, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F2002_073,5, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F3001_041,5, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F3001_042,6, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F4002_047,5, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F4003_042,3, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F4004_052,4, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F4005_057,4, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F4005_058,5, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F4006_081,6, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F4008_048,4, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902M2001_056,5, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902M4002_064,5, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902M5002_075,6, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902M5002_076,7, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1902F2001_078,7, これは「おすすめ」というものはありますか？
1902F3001_043,7, これは「おすすめ」というものはありますか？
1902M3001_058,5, これは「おすすめ」というものはありますか？
1902F2001_079,8, おすすめの便利なきのうとかはありますか？
1902F2002_071,3, おすすめの便利なきのうとかはありますか？
1902F3001_039,3, おすすめの便利なきのうとかはありますか？
1902F4002_045,3, おすすめの便利なきのうとかはありますか？
1902F4004_050,2, おすすめの便利なきのうとかはありますか？
1902F4005_056,3, おすすめの便利なきのうとかはありますか？
1902F4006_079,4, おすすめの便利なきのうとかはありますか？
1902F4008_047,3, おすすめの便利なきのうとかはありますか？
1902F4009_076,3, おすすめの便利なきのうとかはありますか？
1902F4010_062,3, おすすめの便利なきのうとかはありますか？
1902F4011_060,4, おすすめの便利なきのうとかはありますか？
1902M4002_062,3, おすすめの便利なきのうとかはありますか？
1902M5002_072,3, おすすめの便利なきのうとかはありますか？
1902F2001_081,10, ショッピングで「アマゾン」などはよく利用しますか？
1902F2002_075,7, ショッピングで「アマゾン」などはよく利用しますか？
1902F3001_044,8, ショッピングで「アマゾン」などはよく利用しますか？
