name,reaction,lenS,lenU,lendiff,io,na,oa,op,pa,qw,qy,su,label,agent_utterance,dialogue_act,default,はじめに乗り物,はじめの雑談,アニメ・漫画,エスエヌエス,ゲーム,スポーツ,ドラマ,休日の過ごしかた,学校,旅行,映画,最後の質問,本,音楽,食事,lenS_diff,UI3average,UI3average_diff,questionmark,sim1,sim2,sim3
1902F2001_011,822.0,23.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0, 甘いものと、からいものどちらがお好きですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,0.0,0.02856965348638104,0.0
1902F2001_012,931.0,44.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,5.6,0.5999999999999996,1,0.765677400810316,0.0,0.06122933177608575
1902F2001_013,2792.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6, そうですか、とても美味しそうですね・・,pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-25.0,4.6,-1.0,0,0.09755908975514087,0.1840179187953072,0.0
1902F2001_014,1444.0,20.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.4, なるほど、普段はどこでスイーツを買いますか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.4,-0.1999999999999993,1,0.07764423391787612,0.36728518659490095,0.0024926932321930433
1902F2001_015,63.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,5.8,1.3999999999999995,1,0.3247030767595685,-0.04272130484977207,0.050340101848701614
1902F2001_016,1746.0,18.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8, 具体的にはどういったものですか？,qw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,4.8,-1.0,1,-0.07359866338701589,-0.07458082174246292,0.04953939173153634
1902F2001_017,4166.0,24.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8, なるほど、その中でもおすすめのスイーツはありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.8,0.0,1,0.02850592251355288,0.03789067402476544,0.1807040808085481
1902F2001_018,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0, なるほど、そうなんですね。,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,4.0,-0.7999999999999998,0,-0.1072163323528787,-0.06966153347349277,-0.021386687113068195
1902F2001_019,1730.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, それではつぎの話題にうつりたいとおもいます。,op,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0,0.06353833609118358,-0.033148436315105556,0.048226785041250816
1902F2001_020,2506.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, 次に「お休みの日の過ごし方」についてお話ししましょう！,op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0,-0.030591055939975704,0.005335495796417718,0.1273530954641595
1902F2001_021,98.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0, 休日は家で過ごすほうが多いですか？外出することが多いですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,1,0.33577315343360853,0.01793442628346349,-0.03983859641349489
1902F2001_022,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0, そとで過ごすときはスポーツをしたりしますか・・,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,6.0,1.0,0,0.30947203225380393,0.5538726082413917,0.012394994265980753
1902F2001_023,40.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6, 最近スポーツはしましたか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,5.6,-0.40000000000000036,1,0.7869171187235879,0.24902647278690943,0.41351057017571197
1902F2001_024,114.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.4, 好きなスポーツはなんですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.4,0.8000000000000007,1,0.5411170777063222,0.26665940480592965,0.0337877035322198
1902F2001_025,207.0,37.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.6,-0.8000000000000007,1,0.4361822585383863,0.6384745147268677,0.49320749198080904
1902F2001_026,207.0,21.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.4, なるほど、健康的で、ステキですね・・,pa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,6.4,0.8000000000000007,0,0.18618005578652239,0.17563861891128513,0.17176060067092447
1902F2001_027,732.0,18.0,24.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.8, スポーツをする目的は何ですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,5.8,-0.6000000000000005,1,0.3074099270190594,0.5941035655755298,0.40169363876002917
1902F2001_028,1424.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0, なるほど、そうなんですね。,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,4.0,-1.7999999999999998,0,-0.02039045397947262,-0.059102835771517113,0.49698513734207195
1902F2001_029,211.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6, そのほか健康のために、気をつけていることはありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.6,1.5999999999999996,1,-0.05514172208240079,-0.015044769437848514,0.17724703291545127
1902F2001_030,2922.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6, なるほど、健康的で、ステキですね・・,pa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,4.6,-1.0,0,0.17724703291545127,-0.059102835771517113,0.3074099270190594
1902F2001_031,6000.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,0.40000000000000036,1,-0.036939861860073774,0.01945875374510226,0.014586933077506099
1902F2001_032,2806.0,60.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,io,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.4,-0.5999999999999996,0,0.815134867768129,-0.0328468846660297,-0.024981475520227524
1902F2001_033,189.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4, オリンピックは今までに見たことはありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,5.4,1.0,1,0.2605405257314921,0.2981548671990222,-0.10268125247970222
1902F2001_034,1007.0,20.0,50.0,-30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4, 具体的に教えてもらっていいですか？,qw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,5.4,0.0,1,-0.030895542483646846,-0.04101469450687573,-0.02132324741283516
1902F2001_035,6000.0,16.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0, なるほど、よくご存じですね・・,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,-1.4000000000000004,0,0.0,0.0,0.0
1902F2001_036,229.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2, そうですか。そのスポーツはテレビで鑑賞はされますか・・,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.2,-0.7999999999999998,0,0.0,0.01012627863089483,0.22693482158472367
1902F2001_037,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6, なるほど、そうなんですね。,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,3.6,0.3999999999999999,0,0.12786739773657727,0.0,-0.05372294050026107
1902F2001_038,65.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8, 日本で開催されるオリンピックを、見にいく予定はありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.8,2.1999999999999997,1,0.06765290561368921,0.5421172889663651,0.0
1902F2001_039,6000.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2, そうですね、わかります。,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,4.2,-1.5999999999999996,0,0.0,0.0,0.0
1902F2001_040,2579.0,23.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8, なにかおすすめのスポーツ観戦はありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.8,0.5999999999999996,1,0.0,0.3759537705001852,-0.06929327645792285
1902F2001_041,5717.0,25.0,4.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4, すみません，その質問にはお答えできかねます．,na,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.4,-1.4,0,0.09390222552412202,0.0,0.0525167770342194
1902F2001_042,40.0,33.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8, そうなんですか．それでは一度独自で調べてみたいと思います．,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.8,-0.6000000000000001,0,0.00799666562345384,-0.04256327462443367,0.0
1902F2001_043,575.0,48.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.8,2.0,1,0.11801748533265877,0.28503826329052173,0.06666225438962832
1902F2001_044,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.2, それでは少し「映画」について話しましょう,op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0,4.2,-0.5999999999999996,0,0.0,0.0,0.0
1902F2001_045,749.0,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6, 最近見た映画はありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,5.6,1.3999999999999995,1,0.0,0.3342538286454184,0.11795222259647045
1902F2001_046,680.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2, 映画では洋画，邦画，それ以外のどれが好きですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,5.2,-0.39999999999999947,1,0.2398639790347071,0.0,0.08681688592369714
1902F2001_047,747.0,28.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2, 洋画が好きなんですか，おすすめの洋画ってありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.2,1.0,1,0.08387806850203686,0.33121413145250694,0.0
1902F2001_048,393.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0, それは一体どういった内容なんですか？,qw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,6.0,-0.20000000000000018,1,0.7780531769337394,0.3712566011975839,0.1589817241950441
1902F2001_049,524.0,20.0,104.0,-84.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2, それのどういったところが好きなんですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,6.2,0.20000000000000018,1,0.9999999999999999,0.7780531769337394,0.3712566011975839
1902F2001_050,3947.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.2, なるほど、それは面白そうですね！私も観てみたいです！,pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,4.2,-2.0,0,0.26507023356563864,0.26507023356563864,0.04947203452778759
1902F2001_051,2740.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0, では，もう一度見たい映画はありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.0,5.0,0.7999999999999998,1,0.16730676739512085,0.16276485367786797,0.16276485367786797
1902F2001_052,1570.0,24.0,71.0,-47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2, もう少し詳しく教えていただいていいですか。,qw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.2,0.20000000000000018,0,0.19301438289980263,0.21119731335493536,0.08019638192434198
1902F2001_053,5374.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8, すごいですね。,pa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,3.8,-1.4000000000000004,0,0.0,0.0,0.0
1902F2001_054,1051.0,29.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8, 「映画館」か「テレビ」かどちらでよく映画をみますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,4.8,1.0,1,0.0,0.2307897628993509,0.08943335369073241
1902F2001_055,1953.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8, なるほど、そうなんですね。,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,3.8,-1.0,0,0.06618256956344813,0.0,0.07691849221329623
1902F2001_056,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8, ありがとうございました・・,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0,0.0,0.0,0.0
1902F2001_057,6000.0,25.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, それでは少し「音楽」について話しましょう！,op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,4.0,0.20000000000000018,0,0.0,0.0,0.0
1902F2001_058,1894.0,38.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,4.8,0.7999999999999998,1,0.0,0.0,-0.04871640139451868
1902F2001_059,201.0,33.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,5.4,0.6000000000000005,1,0.11695186460689598,0.0,0.0
1902F2001_060,540.0,15.0,19.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.8, 具体的に教えてください？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-18.0,5.8,0.39999999999999947,1,-0.1388910932288024,0.1611490789834628,0.0
1902F2001_061,15361.0,22.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6, その歌手のどういうところが好きなんですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.6,-2.1999999999999997,1,-0.14820399829397055,0.9038158333309805,0.13109661878298334
1902F2001_062,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8, そうなんですね。,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,3.8,0.19999999999999973,0,0.8414480210803474,-0.10216491374136294,0.7677419730052788
1902F2001_063,282.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6, 素敵な趣味ですね。,pa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.6,-0.19999999999999973,0,0.08519284687682346,0.20865157848121185,0.06195730923419967
1902F2001_064,6000.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.4, カラオケは好きですか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.4,0.8000000000000003,1,0.269473219454916,0.060673540661162116,0.26800561241221843
1902F2001_065,3027.0,18.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.4, カラオケでよくなにをうたうのですか？,qw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.4,0.0,1,0.6041930418221834,0.09389973631233167,-0.06067913177041503
1902F2001_066,5481.0,18.0,44.0,-26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6, 具体的にはどういったものですか？,qw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.1999999999999993,1,0.04541271516947175,-0.06552300097624156,0.055348550465034944
1902F2001_067,6000.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8, とても楽しそうですね。,pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,3.8,-0.7999999999999998,0,0.04953939173153634,0.16966021751047736,0.009998131918982918
1902F2001_068,2530.0,91.0,7.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,2.8,-1.0,1,0.1899617882621411,0.13920834620296327,0.28594004570651316
1902F2001_069,1510.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8, なるほど、そうなんですね。,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,3.8,1.0,0,-0.052653111715683064,0.006898255303290928,-0.06966153347349277
1902F2001_070,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8, ありがとうございました・・,oa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0,0.0,0.0,0.0
1902F2001_071,488.0,42.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,qy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.8,1.0,1,0.0,0.33325503763732756,0.614351289363043
